Pitch,Duration,Concurrent_Notes,Dist_To_Highest,Dist_To_Lowest,Hand_Label
65,0.5,2,0,24,1
41,0.5,2,24,0,0
65,0.25,1,0,0,1
67,1.0,4,0,14,1
63,1.0,4,4,10,0
60,1.0,4,7,7,0
53,1.0,4,14,0,0
69,1.0,4,0,16,1
63,1.0,4,6,10,0
60,1.0,4,9,7,0
53,1.0,4,16,0,0
70,0.5,2,0,24,1
46,0.5,2,24,0,0
72,0.25,1,0,0,1
74,1.0,4,0,21,1
62,1.0,4,12,9,0
58,1.0,4,16,5,0
53,1.0,4,21,0,0
75,0.5,2,0,29,1
46,0.5,2,29,0,0
77,0.5,1,0,0,1
79,0.25,3,0,40,1
39,0.75,3,40,0,0
51,0.75,3,28,12,0
81,0.25,5,0,26,1
55,1.0,5,26,0,0
58,1.0,5,23,3,0
63,1.0,5,18,8,0
67,1.0,5,14,12,0
82,0.25,6,2,27,1
84,0.25,6,0,29,1
82,0.25,6,2,27,1
84,0.25,6,0,29,1
82,0.25,6,2,27,1
84,0.25,6,0,29,1
82,0.25,2,2,0,1
84,0.25,2,0,2,1
81,0.5,1,0,0,1
79,0.3333333333333333,1,0,0,1
77,0.25,3,5,0,1
82,0.25,3,0,5,1
46,0.5,1,0,0,0
82,0.25,1,0,0,1
74,1.75,4,0,21,1
62,1.0,4,12,9,0
58,1.0,4,16,5,0
53,1.0,4,21,0,0
62,1.0,4,12,9,0
58,1.0,4,16,5,0
53,1.0,4,21,0,0
75,0.25,5,4,22,1
79,0.25,5,0,26,1
41,0.5,1,0,0,0
79,0.25,1,0,0,1
69,1.75,4,0,16,1
63,1.0,4,6,10,0
60,1.0,4,9,7,0
53,1.0,4,16,0,0
63,1.0,4,6,10,0
60,1.0,4,9,7,0
53,1.0,4,16,0,0
70,0.25,5,4,17,1
74,0.25,5,0,21,1
46,0.5,1,0,0,0
74,0.25,1,0,0,1
64,2.0,4,0,11,1
62,1.0,4,2,9,0
58,1.0,4,6,5,0
53,1.0,4,11,0,0
62,1.0,4,2,9,0
58,1.0,4,6,5,0
53,1.0,4,11,0,0
65,0.25,2,0,24,1
41,0.5,2,24,0,0
69,0.25,1,0,0,1
72,0.5,3,0,19,1
53,1.0,3,19,0,0
63,1.0,3,9,10,0
75,0.5,3,0,22,1
79,0.75,4,0,26,1
53,1.0,4,26,0,0
57,1.0,4,22,4,0
63,1.0,4,16,10,0
77,0.25,5,0,24,1
77,0.25,5,0,24,1
86,0.25,2,0,40,1
46,0.5,2,40,0,0
84,0.25,1,0,0,1
82,0.25,5,2,29,1
84,0.25,5,0,31,1
53,1.0,5,31,0,0
58,1.0,5,26,5,0
62,1.0,5,22,9,0
82,0.25,4,0,29,1
79,0.5,4,0,26,1
77,1.0,4,0,24,1
53,1.0,4,24,0,0
58,1.0,4,19,5,0
62,1.0,4,15,9,0
79,0.25,6,3,26,1
82,0.25,6,0,29,1
46,0.5,1,0,0,0
